Item,Price
Strawberry Coconut Drink,$5.69
Pineapple Passionfruit Lemonade Starbucks Refreshers Beverage,$6.52
Dragon DrinkTM/MC Starbucks Refreshers Beverage,$6.61
Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,$5.95
Mango Dragonfruit Starbucks Refreshers Beverage,$5.30
Flow Strawberry and Rose Water,$4.11
Dragon Drink,$5.55
SunRype Apple Juice,$1.93
Ethos® Bottled Water,$2.85
Kiju Organic Apple Juice,$2.44
Flow Original Water,$3.51
Iced Chai Latte,$4.88
Iced Tea,$2.25
Iced Black Tea,$3.22
Iced Chai Tea Latte,$3.66
Iced Black Tea Lemonade,$3.89
Iced Black Tea Latte,$4.88
Iced Rooibos Tea Latte,$4.72
Iced Blossoming Rose Tea Latte,$5.22
Iced Black Sesame Tea Latte,$5.23
Iced London Fog Tea Latte,$4.88
Iced Royal English Breakfast Tea Latte,$4.88
Iced English Breakfast Tea Latte,$4.89
Iced Green Tea Lemonade,$3.89
Iced Blueberry Black Tea,$3.83
Iced Green Tea,$3.22
Iced Matcha Lemonade,$4.75
Iced Blueberry Black Tea Lemonade,$4.43
Matcha Tea Lemonade,$4.17
Iced Matcha Green Tea Latte,$4.19
Iced Peach Green Tea,$3.91
Iced Peach Green Tea Lemonade,$4.44
Iced Passion Tango™ Tea,$3.23
Iced White Tea,$2.70
Iced White Tea Lemonade,$3.35
Iced Guava White Tea,$3.82
Iced Passion Tango™ Tea Lemonade,$3.89
Iced Guava White Tea Lemonade,$4.42
Iced Americano Blanco,$3.95
Iced Caffè Americano,$2.99
Iced Flat White,$5.31
Iced Starbucks Blonde® Caffè Americano,$3.44
Nitro Cold Brew,$4.41
Vanilla Sweet Cream Cold Brew,$4.52
Starbucks® Cold Brew Coffee,$4.02
Cold Brew with Cold Foam,$4.03
Cold Brew with Salted Cream Cold Foam,$4.69
Cinnamon Caramel Cream Cold Brew,$5.65
Irish Cream Cold Brew,$4.73
Iced Coffee,$3.34
Pumpkin Cream Cold Brew,$5.30
Iced Coffee with Milk,$3.87
Iced Espresso,$2.76
Starbucks Doubleshot® on Ice,$3.95
Salted Caramel Cream Cold Brew,$5.66
Starbucks Blonde® Doubleshot® On Ice,$3.95
Starbucks Double Shot® on Ice,$3.95
Iced Starbucks Blonde® Flat White,$5.31
Iced Almondmilk Honey Flat White,$6.20
Iced Almondmilk Honey Flat White with Starbucks Blonde® Espresso,$6.20
Chocolate Cream Cold Brew,$5.73
Iced Caffè Latte,$4.28
Iced Starbucks Blonde® Caffè Latte,$4.55
Iced Skinny Cinnamon Dolce Latte,$5.33
Iced Starbucks Blonde Vanilla Latte,$4.35
Iced Blonde Hazelnut Latte,$5.14
Iced Starbucks Blonde® Hazelnut Latte,$5.15
Iced Cinnamon Dolce Latte,$4.70
Iced Pumpkin Spice Latte,$5.53
Iced Starbucks Blonde® Caramel Brûlé Latte,$5.52
Iced Starbucks Blonde® Chestnut Praline Latte,$5.52
Starbucks Blonde® Iced Pumpkin Spice Latte,$5.53
Iced Caramel Brûlé Latte,$5.52
Iced Starbucks Blonde® Cardamom Latte,$5.53
Iced Cardamom Latte,$5.53
Iced Chestnut Praline Latte,$5.52
Iced Gingerbread Latte,$5.52
Iced Coconutmilk Latte with Starbucks Blonde® Espresso,$5.52
Iced Starbucks Blonde® Smoked Butterscotch Latte,$5.52
Iced Coconutmilk Latte,$5.52
Iced Smoked Butterscotch Latte,$5.52
Iced Caramel Macchiato,$4.53
Iced Starbucks Blonde® Caramel Macchiato,$5.31
Iced Caffè Mocha,$4.23
Iced White Chocolate Mocha,$4.59
Starbucks Blonde® Iced Salted Caramel Mocha,$5.51
Iced Salted Caramel Mocha,$5.51
Iced Starbucks Blonde® Peppermint Mocha,$5.52
Iced Starbucks Blonde® Peppermint White Chocolate Mocha,$5.52
Iced Peppermint Mocha,$5.52
Iced Peppermint White Chocolate Mocha,$5.52
Iced Caffé Verona® Clover®,$7.53
Chai Latte,$4.72
Rooibos Tea Latte,$4.72
Matcha Tea Latte,$5.72
Blossoming Rose Tea Latte,$5.05
Earl Grey Black Tea,$2.16
Black Tea Latte,$4.72
Royal English Breakfast Black Tea,$2.79
Black Sesame Tea Latte,$5.07
Matcha Green Tea Latte,$3.96
Chai Tea Latte,$4.79
Caffè Misto,$3.63
Starbucks Blonde® Caramel Brûlé Latte,$5.28
Decaf Pike Place Roast,$2.91
Starbucks Blonde Vanilla Latte,$5.65
Apple Crisp Oat Macchiato,$6.53
True North Blend™ Blonde Roast,$2.57
Espresso,$1.96
Featured Dark Roast,$2.70
Pike Place Roast,$8.79
Starbucks Blonde® Caffè Latte,$4.44
Caffè Americano,$3.17
Americano Blanco,$3.85
Starbucks Blonde® Caffè Americano,$3.10
Americano Nuevo,$4.44
Caffè Americano Misto,$4.29
Brown Sugar Oat Americano,$6.69
Irish Cream Americano,$4.46
Starbucks® Blonde Americano Misto,$4.10
Cappuccino,$4.21
Featured Medium Roast - Pike Place Roast,$2.90
Starbucks Blonde® Cappuccino,$4.45
Flat White,$5.04
Starbucks Blonde® Flat White,$5.11
Featured Blonde Roast - True North Blend,$3.02
Almondmilk Honey Flat White,$5.95
Almondmilk Honey Flat White with Starbucks Blonde® Espresso,$5.95
Honey Almond Flat White,$6.47
Caffè Latte,$4.28
Cinnamon Dolce Latte,$5.16
Skinny Cinnamon Dolce Latte,$5.13
Oat Latte,$6.30
Starbucks Blonde Hazelnut Latte,$5.40
Americano Misto,$5.42
Blonde Hazelnut Latte,$4.95
Caramel Brûle Latte,$5.30
Pumpkin Spice Latte,$5.90
Cardamom Latte,$5.29
Gingerbread Latte,$5.28
Starbucks Blonde® Cardamom Latte,$5.29
Starbucks Blonde® Chestnut Praline Latte,$5.28
Starbucks Blonde® Pumpkin Spice Latte,$5.29
Coconutmilk Latte with Starbucks Blonde® Espresso,$5.28
Starbucks Blonde® Smoked Butterscotch Latte,$5.28
Coconutmilk Latte,$5.28
Smoked Butterscotch Latte,$5.28
Caramel Macchiato,$5.01
Espresso Macchiato,$3.25
Starbucks Blonde® Caramel Macchiato,$5.11
Caffè Mocha,$4.71
White Chocolate Mocha,$5.22
Starbucks Blonde® Salted Caramel Mocha,$5.27
Peppermint Mocha,$5.30
Peppermint White Chocolate Mocha,$5.30
Starbucks Blonde® Peppermint Mocha,$5.28
Starbucks Blonde® Peppermint White Chocolate Mocha,$5.28
Coffee Traveller – Starbucks Blonde® Roast,$21.50
Coffee Traveller – Dark Roast,$21.54
Coffee Traveller – Pike Place® Roast,$21.57
Sumatra Clover®,$9.10
Coffee Traveller – Decaf Pike Place® Roast,$21.52
Coffee Traveler - True North Blend™ Blonde Roast,$19.70
Coffee Traveler - Dark Roast,$19.70
Coffee Traveler - Medium,$19.70
Coffee Traveler - Decaf Medium Roast,$19.70
Pour Over,$29.67
VIA Instant Pumpkin Spice Latte,$10.35
VIA Pike Place Roast,$15.95
VIA True North Blend,$17.06
VIA Italian Roast,$16.91
Starbucks VIA Instant Pike Place Roast,$16.61
VIA Decaf Italian Roast,$18.31
Starbucks Anniversary Blend 2023,$23.25
Starbucks Blonde Espresso Roast,$22.60
Passport Series: Kenya,$22.95
Sumatra,$22.24
Starbucks True North Blend,$14.06
Starbucks Green Apron Blend,$22.75
True North Blend™,$21.85
Blonde Espresso,$21.79
Decaf Pike Place Roast (Whole Bean),$21.85
Starbucks® Fairtrade Italian Roast,$21.54
Siren's Blend,$22.61
Passport Series: Sundried Ethiopia Sidama,$22.95
Siren's Blend™,$21.74
Caffè Verona,$22.08
Italian Roast,$22.61
Guatemala Casi Cielo Whole Bean Coffee,$23.95
Espresso Roast,$22.16
Fairtrade® certified Italian Roast,$21.85
Gold Coast Blend,$22.40
Komodo Dragon Blend,$22.12
Decaf Espresso Roast,$22.25
Starbucks Thanksgiving Blend,$23.52
Starbucks Odyssey Blend/MC 2023,$23.25
Teavana Jade Citrus Mint,$13.84
Teavana Emperor's Clouds and Mist,$13.81
Teavana Peach Tranquility,$13.81
Teavana Royal English Breakfast,$13.82
Teavana Earl Grey,$13.82
Teavana Chai,$13.86
Recycled Ceramic Mug - 473 mL,$28.17
Cold To-Go Cup - 709 mL,$3.50
Siren Logo Plastic Cold Cup - 709 mL,$23.39
Green Soft Touch Stainless-Steel Cold Cup - 710 mL,$46.23
Siren Logo Plastic Hot Cup - 473 mL,$2.35
Siren Logo Plastic Hot Cup - 16 fl oz,$2.45
Recycled Plastic Tumbler - 473 mL,$26.34
Rolled and Steel-Cut Oatmeal,$3.91
Rolled Steel-Cut Oatmeal,$4.47
Caramel Brulée Crème Frappuccino,$4.76
Chestnut Praline Frappuccino,$5.43
Caramel Brulee Latte,$4.26
Chestnut Praline Crème Frappuccino,$5.24
Chestnut Praline Latte,$4.67
Chocolate Cookie Crumble Crème Frappuccino,$4.75
Caramel Ribbon Crunch Crème Frappuccino,$4.75
Peppermint Mocha Crème Frappuccino,$5.15
Salted Caramel Mocha,$4.70
Hot Chocolate,$2.74
White Hot Chocolate,$4.72
Salted Caramel Hot Chocolate,$4.75
Peppermint Hot Chocolate,$4.21
Steamed Apple Juice,$2.59
Caramel Apple Spice,$4.12
Steamed Milk,$2.68
Pumpkin Spice Crème,$5.05
Vanilla Steamer,$2.67
Caramel Brûlé Crème,$4.21
Smoked Butterscotch Crème,$4.73
Coffee Frappuccino® Blended Beverage,$5.23
Espresso Frappuccino®,$6.02
Espresso Frappuccino® Blended Beverage,$6.27
Java Chip Frappuccino® Blended Beverage,$5.45
Mocha Frappuccino® Blended Beverage,$5.45
Caffè Vanilla Frappuccino®,$5.39
Caffè Vanilla Frappuccino® Blended Beverage,$5.45
Caramel Frappuccino® Blended Beverage,$5.45
Pumpkin Spice Frappuccino®,$5.75
Salted Caramel Mocha Frappuccino®,$5.47
Caramel Brûlé Frappuccino®,$5.75
Chai Crème Frappuccino®,$5.39
Gingerbread Frappuccino®,$5.75
Peppermint Mocha Frappuccino®,$5.75
Matcha Green Tea Crème Frappuccino®,$5.39
Peppermint White Chocolate Mocha Frappuccino®,$5.75
Pumpkin Spice Crème Frappuccino®,$5.75
Vanilla Bean Crème Frappuccino® Blended Crème,$5.23
Chai Crème Frappuccino® Blended Beverage,$5.45
Double Chocolaty Chip Crème Frappuccino® Blended Beverage,$5.45
Matcha Green Tea Crème Frappuccino® Blended Beverage,$5.45
Caramel Brûlé Crème Frappuccino®,$5.75
Gingerbread Crème Frappuccino®,$5.75
Coffee Frappuccino,$4.38
Java Chip Frappuccino,$4.73
Mocha Frappuccino,$4.73
Strawberry Frappuccino,$4.59
Caramel Frappuccino,$4.73
Vanilla Bean Creme Frappuccino,$4.32
Double Chocolaty Chip Creme Frappuccino,$4.73
Salted Caramel Mocha Creme Frappuccino,$6.50
Blueberry Greek Yogurt,$2.74
Greek Yogurt with Mixed Berries,$5.75
Vanilla Skyr with Apple & Pineapple,$6.65
Vegan Yogurt Alternative with Blueberries,$6.25
Caffè Verona® Verismo® Pods,$15.95
Espresso Roast Verismo® Pods,$15.95
Decaf Espresso Roast Verismo® Pods,$15.95
