Item,Price
Iced Flat Whites,$5.92
Iced Almondmilk Honey Flat White with Starbucks® Blonde Espresso,$5.77
Iced Flat White,$5.98
Iced Lavender Oatmilk Latte,$6.38
Iced Caffè Latte,$4.61
Iced Hazelnut Oatmilk Shaken Espresso​,$6.73
Iced Pistachio Latte,$6.79
Iced Cinnamon Dolce Latte,$5.43
Iced Toasted Vanilla Oatmilk Shaken Espresso,$6.38
Iced Skinny Cinnamon Dolce Latte,$5.75
Iced Starbucks® blonde coffee milk,$5.57
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,$6.12
IDED Starbucks® Blonde Caramel Burlée Latte,$5.31
Iced Starbucks Blonde Vanilla Latte,$5.94
Nondairy Chocolate Cream Cold Brew,$6.11
Iced Pumpkin Spice Latte,$6.48
Iced Starbucks® Blonde Chestnut Praline Latte,$5.31
Iced Vanilla Bean Coconutmilk Latte,$6.21
Iced Caramel Burlée Latte,$6.00
Pitaya Refreshers with Lemonade,$5.29
White Chocolate Macadamia Cream Cold Brew,$6.00
Lavender Oatmilk Chill,$5.19
Iced Caramel Macchiato,$5.18
Iced Starbucks® Blonde Vanilla Bean Coconutmilk Latte,$6.22
Iced Chestnut Praline Latte,$6.07
Iced Apple Crisp Oatmilk Shaken Espresso,$6.82
Iced White Chocolate Mocha,$5.45
Iced Cinnamon Almondmilk Macchiato,$6.22
Iced Coconutmilk Latte with Starbucks® Blonde Espresso,$5.29
Iced Starbucks® Blonde Eggnog Latte,$5.31
Iced Chocolate Almondmilk Shaken Espresso,$6.23
Iced Caramel Apple Cream Latte,$7.23
Iced Skinny Mocha,$5.31
Iced Coconutmilk Mocha Macchiato,$6.22
Iced Starbucks® Blonde Smoked Butterscotch Latte,$5.29
Iced Eggnog Latte,$5.14
Iced Caffè Mocha,$5.00
Iced Coconutmilk Latte,$5.29
Iced Gingerbread Latte,$6.52
Nondairy Vanilla Sweet Cream Cold Brew,$5.78
Iced Espresso Macchiato,$2.57
Iced Salted Caramel Mocha,$5.22
Iced Smoked Butterscotch Latte,$5.29
Nondairy Salted Caramel Cream Cold Brew,$6.12
Iced Peppermint Mocha,$6.04
Starbucks® Blonde Iced Salted Caramel Mocha,$5.32
Iced Peppermint White Chocolate Mocha,$6.04
Iced Starbucks Blonde Cinnamon Cloud Macchiato,$6.04
Iced Starbucks® Blonde Caramel Cloud Macchiato,$6.22
Iced Cordusio,$6.00
Iced Starbucks® Blonde Peppermint Mocha,$5.30
Iced Toasted White Chocolate Mocha,$5.35
Iced Starbucks® Blonde Peppermint White Chocolate Mocha,$5.30
Iced Starbucks® Blonde Toasted White Chocolate Mocha,$5.31
Iced Vanilla Latte,$5.16
Strawberry Acai with Lemonade,$5.30
Pink Drink Starbucks Refreshers Beverage,$5.95
Strawberry Acai Starbucks Refreshers Beverage,$5.19
Very Berry Hibiscus Refreshers™,$3.82
Strawberry Acai Lemonade Starbucks Refreshers Beverage,$5.92
Dragon Drink Starbucks Refreshers Beverage,$5.94
Paradise Drink Starbucks Refreshers Beverage,$5.94
Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,$5.77
Summer-Berry Lemonade Starbucks Refreshers Beverage,$7.24
Mango Dragonfruit Starbucks Refreshers Beverage,$5.07
Pineapple Passionfruit Starbucks Refreshers Beverage,$5.21
Spicy Dragonfruit,$6.38
Pineapple Passionfruit Lemonade Starbucks Refreshers Beverage,$5.94
Spicy Strawberry,$6.38
Spicy Pineapple,$6.37
Summer-Berry Starbucks Refreshers Beverage,$6.64
Summer Skies Drink Starbucks Refreshers Beverage,$7.24
Caffe Espresso Frappuccino,$6.03
Strawberries and Creme Frappuccino,$3.94
Double Chocolaty Chip Frappuccino,$4.73
Brulled Candy Cream Frappuccino®,$5.59
Caramel Ribbon Crunch Frappuccino Blended Beverage,$6.83
Sugar Cookie Almondmilk Frappuccino Blended Beverage,$6.75
Peppermint Mocha Frappuccino®,$5.61
Java Chip Frappuccino Blended Beverage,$6.26
Chestnut Praline Crème Frappuccino®,$5.60
Coffee Frappuccino Blended Beverage,$5.89
Espresso Frappuccino®,$6.58
Mocha Cookie Crumble Frappuccino,$6.80
Caramel Frappuccino Blended Beverage,$6.25
Espresso Frappuccino Blended Beverage,$7.28
Caffè Vanilla Frappuccino®,$5.75
Caffè Vanilla Frappuccino blended beverage,$6.26
Mocha Frappuccino Blended Beverage,$6.26
White Chocolate Mocha Frappuccino®,$5.76
White Chocolate Mocha Frappuccino Blended Beverage,$6.26
Chocolate Cookie Crumble Crème Frappuccino,$5.87
Ultra Caramel Frappuccino®,$6.48
Pumpkin Spice Frappuccino®,$5.53
Pumpkin Spice Crème Frappuccino Blended Beverage,$6.84
Peppermint White Chocolate Mocha Frappuccino®,$5.65
Apple Crisp Oatmilk Frappuccino Blended Beverage,$6.84
Lavender Crème Frappuccino Blended Beverage,$6.88
Matcha Green Tea Crème Frappuccino®,$5.36
