Item,Price
"1110616 - Ceramic mug THESSALONIKI 0,414 l, ""You Are Here Collection""",€23.95
"1110618 - Ceramic mug CRETE 0,414 l, ""You Are Here Collection""",€23.95
"911147888 - Reusable Glasses with Logo 0,473ml",€9.95
"1110617 - Ceramic mug RHODES 0,414 l, ""You Are Here Collection""",€23.95
"1062039 - Ceramic mug MYKONOS 0,414 l, ""You Are Here Collection""",€23.95
"1059104 - Ceramic mug ATHENS 0,414 l, ""You Are Here Collection""",€23.95
"1083748 - Ceramic mug GREECE 0,414 l, ""You Are Here Collection""",€23.95
"1094816 - Ceramic mug CORFU 0,414 l, ""You Are Here Collection""",€23.95
Reusable Starbucks Cup,€2.00
Organic Lemonade with Agave and Ginger,€3.57
Lemonade with Mango and Organic Agave,€3.56
Lemonade Epsa,€3.02
Orange juice Epsa,€2.95
Pink Lemonade Epsa,€3.01
"Mineral Water Vikos 0,5 l",€0.50
"Acqua Panna Water 0,5 l",€2.06
Natural Mineral Carbonated Water San Pellegrino 0.25 l,€4.01
"Carbonated Mineral Water Vikos 0,33 l",€2.50
