Country,Exchange Rate
Australia,0.63
Canada,0.70
Colombia,0.000242
Czech-republic,
Finland,1.03
Hungary,0.0025
Italy,1.03
United-kingdom,
Poland,0.25
Brasil,
Chile,0.001
South-africa,
México,
United-states,
