Country,Latte Price
Australia,$6.88
Canada,$4.88
Colombia,"$27,400.00"
Czech-republic,Kč165.00
Finland,€6.20
Hungary,"Ft2,190.00"
Italy,€1.50
United-kingdom,£3.36
Poland,zł10.90
Brasil,R$13.63
Chile,"$4,600.00"
South-africa,R48.00
México,$62.20
United-states,$4.68
